N,avg_experience,avg_liquidity,avg_complexity
5.0,0.5871133580047042,0.5451081592915633,0.9096688187909736
8.0,0.5811209405512369,0.5281775959563628,0.8991119292432487
13.0,0.5757495814411923,0.5241083501065897,0.8948103415750343
21.0,0.5454096096874407,0.4812926530938854,0.8641356566619992
34.0,0.5360463028963726,0.47922481787785937,0.8419110330058659
55.0,0.5222862016469549,0.4785387280826186,0.8139124476063986
62.0,0.515300802022761,0.47657254945488,0.7989080649985723
